SRR35808553_ctg1143	2604421
SRR35808553_ctg1545	2806348
SRR35808553_ctg1876	1842537
SRR35808553_ctg189	1173027
SRR35808553_ctg2129	2704465
SRR35808553_ctg2411	2591463
SRR35808553_ctg497	1751071
SRR35808553_ctg637	661481
SRR35808553_ctg791	2591463
SRR35808553_ctg792	2686094
SRR35808553_ctg821	563172
SRR35808553_ctg921	1842540
SRR35808611_ctg1000	1868589
SRR35808611_ctg1001	2704465
SRR35808611_ctg1124	661481
SRR35808611_ctg1133	2698679
SRR35808611_ctg1169	2704465
SRR35808611_ctg1196	2807512
SRR35808611_ctg1214	2714952
SRR35808611_ctg1245	2704465
SRR35808611_ctg127	2594003
SRR35808611_ctg1291	2591463
SRR35808611_ctg1318	578920
SRR35808611_ctg148	2321403
SRR35808611_ctg229	1867715
SRR35808611_ctg249	2528021
SRR35808611_ctg321	13687
SRR35808611_ctg391	3095343
SRR35808611_ctg442	1842540
SRR35808611_ctg514	128785
SRR35808611_ctg580	2674997
SRR35808611_ctg691	2604421
SRR35808611_ctg704	2604421
SRR35808611_ctg707	2584466
SRR35808611_ctg78	3133696
SRR35808611_ctg855	356
SRR35808611_ctg923	1751071
SRR35808611_ctg998	1842537
SRR35808900_ctg10508	1874061
SRR35808900_ctg10862	2674997
SRR35808900_ctg1246	3056107
SRR35808900_ctg1948	2591463
SRR35808900_ctg7222	1751071
SRR35808900_ctg7653	2952571
SRR35808900_ctg8089	2651974
SRR35808900_ctg8479	1867715
SRR35809155_ctg108	1842540
SRR35809155_ctg14	1751071
SRR35809155_ctg214	2843216
SRR35809155_ctg339	2698679
SRR35809155_ctg370	2591463
SRR35809155_ctg372	3049772
SRR35809155_ctg458	2674997
SRR35809155_ctg497	2604421
SRR35809155_ctg606	2631580
SRR35809155_ctg937	2594003
SRR35809155_ctg95	1842537
SRR35809155_ctg964	2572090
SRR35809332_ctg1020	1868589
SRR35809332_ctg1086	3151764
SRR35809332_ctg1346	1751071
SRR35809332_ctg1415	1842540
SRR35809332_ctg1499	563172
SRR35809332_ctg162	2594003
SRR35809332_ctg2068	2895980
SRR35809332_ctg2081	2631580
SRR35809332_ctg2090	2290922
SRR35809332_ctg2153	2591463
SRR35809332_ctg2198	2686094
SRR35809332_ctg866	2714952
SRR35809332_ctg873	2631580
SRR35809332_ctg9	2604421
SRR35809336_ctg10052	1736675
SRR35809336_ctg10687	3382192
SRR35809336_ctg3748	13687
SRR35809336_ctg3918	1874061
SRR35809336_ctg476	2594003
SRR35809336_ctg4857	2782665
SRR35809336_ctg5506	3342640
SRR35809336_ctg7029	1842537
SRR35809336_ctg7700	3108391
SRR35809336_ctg8014	1759059
