contig_id	contig_length	viral_length	aai_expected_length	aai_completeness	aai_confidence	aai_error	aai_num_hits	aai_top_hit	aai_id	aai_af	hmm_completeness_lower	hmm_completeness_upper	hmm_num_hits	kmer_freq
SRR35808553_ctg1561	15576	NA	74884.06479038489	20.8001529345399	medium	7.03193258363631	13	CheckV-041977	33.4	44.64	NA	NA	0	1.93
SRR35808553_ctg2334	30227	NA	44995.32093912532	67.17809623114913	low	16.7308326916731	46	CheckV-003332	27.8	15.9	47.09470167064439	85.218138424821	2	1.5
SRR35808900_ctg3305	41348	NA	43270.87626378412	95.55618829611387	medium	5.98247404002937	15	CheckV-015330	48.69	30.31	81.36803769479216	99.96258513330221	19	1.0
SRR35808900_ctg7089	39563	NA	53061.551781157475	74.56057855821905	medium	5.36852754066194	9	CheckV-031123	49.72	18.12	54.70878613673948	99.59660276145108	15	1.0
SRR35808553_ctg791|provirus_1202560_1216302	13743	NA	54633.11171378449	25.155074585532898	medium	8.03152729439396	5	CheckV-020097	41.79	64.33	19.853945913160622	50.36392764320162	8	1.0
SRR35808553_ctg792|provirus_793261_807815	14555	NA	56370.39587942589	25.8202905495512	medium	7.74876976618096	7	CheckV-060800	44.08	70.39	26.27248847440325	46.72164936466581	12	1.0
SRR35808553_ctg921|provirus_684962_730295	45334	NA	44908.85302133229	100.0	medium	7.00366091186278	17	CheckV-015870	56.22	44.47	67.43039620554231	100.0	28	1.0
SRR35808553_ctg921|provirus_1054300_1093930	39631	NA	38441.41433118573	100.0	medium	6.55313837375178	7	CheckV-043490	41.5	22.95	80.27359428981663	99.25129398810253	19	1.0
SRR35808553_ctg1545|provirus_356261_374589	18329	NA	51254.173729829585	35.76099011295278	low	16.7308326916731	1332	CheckV-015882	31.78	13.71	42.82068376068376	50.56495726495726	2	1.0
SRR35808553_ctg1545|provirus_685546_706400	20855	16875	49931.12322856923	33.796555953190705	medium	7.38938313792494	5	CheckV-060800	44.05	56.53	23.834172829971443	57.14133290025844	12	1.0
SRR35808553_ctg1545|provirus_1159832_1202423	42592	NA	48584.43540032675	87.66593590941174	low	12.2561147132961	7	CheckV-001320	44.59	20.32	56.94386526094685	100.0	16	1.0
SRR35808553_ctg1563|provirus_1965431_2003503	38073	NA	47634.9256087629	79.92664943512814	low	10.277080385265	11	CheckV-010926	38.11	21.98	53.19442481605322	99.03937865334892	20	1.0
SRR35808553_ctg1563|provirus_3622510_3633783	11274	NA	44140.14536641611	25.54137487861059	medium	8.09239400932085	14	CheckV-060800	47.54	54.51	21.24375921678932	36.74848381377883	10	1.0
SRR35808553_ctg1563|provirus_3671356_3691187	19832	NA	59230.56875297753	33.482710731193244	medium	8.49858683739978	4	CheckV-047960	46.25	32.56	30.404738194972577	58.905613910195164	4	1.0
SRR35808553_ctg2020|provirus_1248877_1269893	21017	17084	45372.72335806365	37.65257788292716	medium	9.52095613801761	42	CheckV-060800	42.56	22.47	22.11599372881973	58.83921255293666	10	1.0
SRR35808553_ctg2129|provirus_1327017_1368636	41620	NA	38697.648834267355	100.0	low	17.7366586216144	78	CheckV-017509	33.0	9.42	47.40825045203976	95.69401862262566	10	1.0
SRR35808553_ctg2411|provirus_2913402_2926596	13195	NA	52236.4466260572	25.260140863827278	medium	8.03152729439396	6	CheckV-060800	41.53	66.96	19.061946058469456	48.35535121887483	8	1.0
SRR35808611_ctg78|provirus_2163821_2228021	64201	NA	59625.98346665333	100.0	medium	9.40952640438654	2	CheckV-011852	37.37	15.24	80.89745341794031	100.00000000000001	11	1.0
SRR35808611_ctg127|provirus_3889343_3949983	60641	NA	63399.27368153625	95.64936075546944	low	13.7450815046115	33	CheckV-000317	45.32	17.46	72.84604042480947	99.99999999999999	11	1.01
SRR35808611_ctg148|provirus_1848576_1881419	32844	NA	49159.02117740382	66.8117452572406	low	27.4427620025844	207	CheckV-017187	36.31	6.57	64.39081422111647	98.5438250221935	5	1.0
SRR35808611_ctg148|provirus_4840404_4870509	30106	NA	96098.06762032794	31.328413510816087	low	27.4427620025844	132	CheckV-016759	35.26	5.94	11.33	55.83	1	1.0
SRR35808611_ctg229|provirus_1250977_1269435	18459	NA	42895.63454223655	43.03235095362587	medium	8.09634270615345	30	CheckV-060800	51.39	25.23	28.418886582923225	63.383603490134995	8	1.0
SRR35808611_ctg229|provirus_1819251_1937834	118584	NA	58426.85515481866	100.0	low	22.9413956459254	46	CheckV-001292	45.3	8.35	88.67846945153525	97.64172595178806	34	1.0
SRR35808611_ctg229|provirus_3372586_3421449	48864	NA	53110.26255931368	92.00481723363455	low	10.277080385265	11	CheckV-027459	41.74	22.15	66.25283032687842	100.0	22	1.0
SRR35808611_ctg249|provirus_3621693_3649675	27983	NA	44172.133265180906	63.3498949032146	low	16.7308326916731	167	CheckV-042325	28.94	14.4	42.13590670874017	93.31006780423303	11	1.0
SRR35808611_ctg249|provirus_5051454_5077557	26104	NA	46819.4085808987	55.75465558240705	low	19.919469608367	47	CheckV-013287	35.66	11.56	37.27351024557293	73.72502410712296	4	1.0
