feature_id	locus_id	coordinates	feature_type	name	group	group_type	category	fill_colour	stroke_colour	show_label
SRR35808611_ctg1214|provirus_771119_813367_CDS_0001	SRR35808611_ctg1214|provirus_771119_813367	1:528:-1	CDS	hypothetical protein	SRR35809332_ctg866|provirus_3351243_3393491_CDS_0001	conserved	unknown function	default	default	0
SRR35808611_ctg1214|provirus_771119_813367_CDS_0002	SRR35808611_ctg1214|provirus_771119_813367	814:1236:-1	CDS	toxin-antitoxin system HicB-like	SRR35809332_ctg866|provirus_3351243_3393491_CDS_0002	conserved	moron, auxiliary metabolic gene and host takeover	default	default	0
SRR35808611_ctg1214|provirus_771119_813367_CDS_0003	SRR35808611_ctg1214|provirus_771119_813367	1330:1506:-1	CDS	toxin	SRR35809332_ctg866|provirus_3351243_3393491_CDS_0003	conserved	moron, auxiliary metabolic gene and host takeover	default	default	0
SRR35808611_ctg1214|provirus_771119_813367_CDS_0004	SRR35808611_ctg1214|provirus_771119_813367	1661:1933:-1	CDS	excisionase	SRR35809332_ctg866|provirus_3351243_3393491_CDS_0004	conserved	integration and excision	default	default	0
SRR35808611_ctg1214|provirus_771119_813367_CDS_0005	SRR35808611_ctg1214|provirus_771119_813367	2050:2724:1	CDS	hypothetical protein	SRR35809332_ctg866|provirus_3351243_3393491_CDS_0005	conserved	unknown function	default	default	0
SRR35808611_ctg1214|provirus_771119_813367_CDS_0006	SRR35808611_ctg1214|provirus_771119_813367	2727:4397:-1	CDS	DNA methyltransferase	SRR35809332_ctg866|provirus_3351243_3393491_CDS_0006	conserved	other	default	default	0
SRR35808611_ctg1214|provirus_771119_813367_CDS_0007	SRR35808611_ctg1214|provirus_771119_813367	4394:4927:-1	CDS	hypothetical protein	SRR35809332_ctg866|provirus_3351243_3393491_CDS_0007	conserved	unknown function	default	default	0
SRR35808611_ctg1214|provirus_771119_813367_CDS_0008	SRR35808611_ctg1214|provirus_771119_813367	4924:5535:-1	CDS	hypothetical protein	SRR35809332_ctg866|provirus_3351243_3393491_CDS_0008	conserved	unknown function	default	default	0
SRR35808611_ctg1214|provirus_771119_813367_CDS_0009	SRR35808611_ctg1214|provirus_771119_813367	5532:6530:-1	CDS	deoxyribonucleoside 5' monophosphate phosphatase	SRR35808611_ctg1214|provirus_771119_813367_CDS_0009	conserved	other	default	default	0
SRR35808611_ctg1214|provirus_771119_813367_CDS_0010	SRR35808611_ctg1214|provirus_771119_813367	6523:8271:-1	CDS	hypothetical protein	SRR35808611_ctg1214|provirus_771119_813367_CDS_0010	conserved	unknown function	default	default	0
SRR35808611_ctg1214|provirus_771119_813367_CDS_0011	SRR35808611_ctg1214|provirus_771119_813367	8268:8831:-1	CDS	hypothetical protein	SRR35808611_ctg1214|provirus_771119_813367_CDS_0011	conserved	unknown function	default	default	0
SRR35808611_ctg1214|provirus_771119_813367_CDS_0012	SRR35808611_ctg1214|provirus_771119_813367	8838:9161:-1	CDS	hypothetical protein	SRR35808611_ctg1214|provirus_771119_813367_CDS_0012	conserved	unknown function	default	default	0
