feature_id	locus_id	coordinates	feature_type	name	group	group_type	category	fill_colour	stroke_colour	show_label
SRR35808611_ctg442|provirus_3721232_3760862_CDS_0001	SRR35808611_ctg442|provirus_3721232_3760862	1:765:-1	CDS	CII-like regulator	SRR35808611_ctg442|provirus_3721232_3760862_CDS_0001	conserved	transcription regulation	default	default	0
SRR35808611_ctg442|provirus_3721232_3760862_CDS_0002	SRR35808611_ctg442|provirus_3721232_3760862	842:1198:1	CDS	transcriptional repressor	SRR35808611_ctg442|provirus_3721232_3760862_CDS_0002	conserved	transcription regulation	default	default	0
SRR35808611_ctg442|provirus_3721232_3760862_CDS_0003	SRR35808611_ctg442|provirus_3721232_3760862	1307:1789:1	CDS	hypothetical protein	SRR35808611_ctg442|provirus_3721232_3760862_CDS_0003	conserved	unknown function	default	default	0
SRR35808611_ctg442|provirus_3721232_3760862_CDS_0004	SRR35808611_ctg442|provirus_3721232_3760862	1786:2115:1	CDS	transcriptional regulator	SRR35808611_ctg442|provirus_3721232_3760862_CDS_0004	conserved	transcription regulation	default	default	0
SRR35808611_ctg442|provirus_3721232_3760862_CDS_0005	SRR35808611_ctg442|provirus_3721232_3760862	2144:3082:1	CDS	hypothetical protein	SRR35808611_ctg442|provirus_3721232_3760862_CDS_0005	conserved	unknown function	default	default	0
SRR35808611_ctg442|provirus_3721232_3760862_CDS_0006	SRR35808611_ctg442|provirus_3721232_3760862	3084:4847:1	CDS	transposase	SRR35808611_ctg442|provirus_3721232_3760862_CDS_0006	conserved	integration and excision	default	default	0
SRR35808611_ctg442|provirus_3721232_3760862_CDS_0007	SRR35808611_ctg442|provirus_3721232_3760862	4973:6238:1	CDS	DNA transposition protein	SRR35808611_ctg442|provirus_3721232_3760862_CDS_0007	conserved	integration and excision	default	default	0
SRR35808611_ctg442|provirus_3721232_3760862_CDS_0008	SRR35808611_ctg442|provirus_3721232_3760862	6240:6575:1	CDS	hypothetical protein	SRR35808611_ctg442|provirus_3721232_3760862_CDS_0008	conserved	unknown function	default	default	0
SRR35808611_ctg442|provirus_3721232_3760862_CDS_0009	SRR35808611_ctg442|provirus_3721232_3760862	6591:7361:1	CDS	hypothetical protein	SRR35808553_ctg921|provirus_1054300_1093930_CDS_0052	conserved	unknown function	default	default	0
SRR35808611_ctg442|provirus_3721232_3760862_CDS_0010	SRR35808611_ctg442|provirus_3721232_3760862	7372:7752:1	CDS	hypothetical protein	SRR35808553_ctg921|provirus_1054300_1093930_CDS_0051	conserved	unknown function	default	default	0
SRR35808611_ctg442|provirus_3721232_3760862_CDS_0011	SRR35808611_ctg442|provirus_3721232_3760862	7757:8011:1	CDS	hypothetical protein	SRR35808553_ctg921|provirus_1054300_1093930_CDS_0050	conserved	unknown function	default	default	0
SRR35808611_ctg442|provirus_3721232_3760862_CDS_0012	SRR35808611_ctg442|provirus_3721232_3760862	7983:8600:1	CDS	hypothetical protein	SRR35808553_ctg921|provirus_1054300_1093930_CDS_0049	conserved	unknown function	default	default	0
SRR35808611_ctg442|provirus_3721232_3760862_CDS_0013	SRR35808611_ctg442|provirus_3721232_3760862	8600:8836:1	CDS	hypothetical protein	SRR35808553_ctg921|provirus_1054300_1093930_CDS_0048	conserved	unknown function	default	default	0
SRR35808611_ctg442|provirus_3721232_3760862_CDS_0014	SRR35808611_ctg442|provirus_3721232_3760862	8821:9075:1	CDS	hypothetical protein	SRR35808553_ctg921|provirus_1054300_1093930_CDS_0047	conserved	unknown function	default	default	0
SRR35808611_ctg442|provirus_3721232_3760862_CDS_0015	SRR35808611_ctg442|provirus_3721232_3760862	9072:9341:1	CDS	DNA binding protein	SRR35808553_ctg921|provirus_1054300_1093930_CDS_0046	conserved	DNA, RNA and nucleotide metabolism	default	default	0
SRR35808611_ctg442|provirus_3721232_3760862_CDS_0016	SRR35808611_ctg442|provirus_3721232_3760862	9406:9696:1	CDS	hypothetical protein	SRR35808553_ctg921|provirus_1054300_1093930_CDS_0045	conserved	unknown function	default	default	0
SRR35808611_ctg442|provirus_3721232_3760862_CDS_0017	SRR35808611_ctg442|provirus_3721232_3760862	9693:9938:1	CDS	hypothetical protein	SRR35809332_ctg1415|provirus_2633736_2673366_CDS_0044	conserved	unknown function	default	default	0
SRR35808611_ctg442|provirus_3721232_3760862_CDS_0018	SRR35808611_ctg442|provirus_3721232_3760862	9938:10285:1	CDS	nucleoside 2-deoxyribosyltransferase	SRR35809332_ctg1415|provirus_2633736_2673366_CDS_0043	conserved	DNA, RNA and nucleotide metabolism	default	default	0
SRR35808611_ctg442|provirus_3721232_3760862_CDS_0019	SRR35808611_ctg442|provirus_3721232_3760862	10278:11396:1	CDS	hypothetical protein	SRR35809332_ctg1415|provirus_2633736_2673366_CDS_0042	conserved	unknown function	default	default	0
SRR35808611_ctg442|provirus_3721232_3760862_CDS_0020	SRR35808611_ctg442|provirus_3721232_3760862	11389:11613:1	CDS	hypothetical protein	SRR35809332_ctg1415|provirus_2633736_2673366_CDS_0041	conserved	unknown function	default	default	0
SRR35808611_ctg442|provirus_3721232_3760862_CDS_0021	SRR35808611_ctg442|provirus_3721232_3760862	11604:11810:1	CDS	hypothetical protein	SRR35809155_ctg108|provirus_3612395_3652025_CDS_0040	conserved	unknown function	default	default	0
SRR35808611_ctg442|provirus_3721232_3760862_CDS_0022	SRR35808611_ctg442|provirus_3721232_3760862	11807:12310:1	CDS	hypothetical protein	SRR35809155_ctg108|provirus_3612395_3652025_CDS_0039	conserved	unknown function	default	default	0
SRR35808611_ctg442|provirus_3721232_3760862_CDS_0023	SRR35808611_ctg442|provirus_3721232_3760862	12313:12732:1	CDS	late transcriptional activator	SRR35809155_ctg108|provirus_3612395_3652025_CDS_0038	conserved	transcription regulation	default	default	0
SRR35808611_ctg442|provirus_3721232_3760862_CDS_0024	SRR35808611_ctg442|provirus_3721232_3760862	12786:13028:1	CDS	hypothetical protein	SRR35809155_ctg108|provirus_3612395_3652025_CDS_0037	conserved	unknown function	default	default	0
SRR35808611_ctg442|provirus_3721232_3760862_CDS_0025	SRR35808611_ctg442|provirus_3721232_3760862	13095:13538:1	CDS	hypothetical protein	SRR35808553_ctg921|provirus_1054300_1093930_CDS_0036	conserved	unknown function	default	default	0
SRR35808611_ctg442|provirus_3721232_3760862_CDS_0026	SRR35808611_ctg442|provirus_3721232_3760862	13505:13606:1	CDS	hypothetical protein	SRR35808553_ctg921|provirus_1054300_1093930_CDS_0035	conserved	unknown function	default	default	0
SRR35808611_ctg442|provirus_3721232_3760862_CDS_0027	SRR35808611_ctg442|provirus_3721232_3760862	13680:14309:1	CDS	amidase	SRR35808553_ctg921|provirus_1054300_1093930_CDS_0034	conserved	lysis	default	default	0
SRR35808611_ctg442|provirus_3721232_3760862_CDS_0028	SRR35808611_ctg442|provirus_3721232_3760862	14309:14575:1	CDS	hypothetical protein	SRR35808553_ctg921|provirus_1054300_1093930_CDS_0033	conserved	unknown function	default	default	0
SRR35808611_ctg442|provirus_3721232_3760862_CDS_0029	SRR35808611_ctg442|provirus_3721232_3760862	14572:14799:1	CDS	holin	SRR35808553_ctg921|provirus_1054300_1093930_CDS_0032	conserved	lysis	default	default	0
SRR35808611_ctg442|provirus_3721232_3760862_CDS_0030	SRR35808611_ctg442|provirus_3721232_3760862	14796:15413:1	CDS	hypothetical protein	SRR35808553_ctg921|provirus_1054300_1093930_CDS_0031	conserved	unknown function	default	default	0
SRR35808611_ctg442|provirus_3721232_3760862_CDS_0031	SRR35808611_ctg442|provirus_3721232_3760862	15407:15736:1	CDS	hypothetical protein	SRR35808553_ctg921|provirus_1054300_1093930_CDS_0030	conserved	unknown function	default	default	0
SRR35808611_ctg442|provirus_3721232_3760862_CDS_0032	SRR35808611_ctg442|provirus_3721232_3760862	15733:16092:1	CDS	lipoprotein	SRR35808553_ctg921|provirus_1054300_1093930_CDS_0029	conserved	other	default	default	0
SRR35808611_ctg442|provirus_3721232_3760862_CDS_0033	SRR35808611_ctg442|provirus_3721232_3760862	16089:16403:1	CDS	hypothetical protein	SRR35808611_ctg442|provirus_3721232_3760862_CDS_0033	conserved	unknown function	default	default	0
SRR35808611_ctg442|provirus_3721232_3760862_CDS_0034	SRR35808611_ctg442|provirus_3721232_3760862	16405:16950:1	CDS	terminase small subunit	SRR35808611_ctg442|provirus_3721232_3760862_CDS_0034	conserved	head and packaging	default	default	0
SRR35808611_ctg442|provirus_3721232_3760862_CDS_0035	SRR35808611_ctg442|provirus_3721232_3760862	16950:17147:1	CDS	hypothetical protein	SRR35808611_ctg442|provirus_3721232_3760862_CDS_0035	conserved	unknown function	default	default	0
SRR35808611_ctg442|provirus_3721232_3760862_CDS_0036	SRR35808611_ctg442|provirus_3721232_3760862	17147:17422:1	CDS	hypothetical protein	SRR35808611_ctg442|provirus_3721232_3760862_CDS_0036	conserved	unknown function	default	default	0
SRR35808611_ctg442|provirus_3721232_3760862_CDS_0037	SRR35808611_ctg442|provirus_3721232_3760862	17412:18986:1	CDS	hypothetical protein	SRR35808611_ctg442|provirus_3721232_3760862_CDS_0037	conserved	unknown function	default	default	0
SRR35808611_ctg442|provirus_3721232_3760862_CDS_0038	SRR35808611_ctg442|provirus_3721232_3760862	19120:20604:1	CDS	portal protein	SRR35808611_ctg442|provirus_3721232_3760862_CDS_0038	conserved	head and packaging	default	default	0
SRR35808611_ctg442|provirus_3721232_3760862_CDS_0039	SRR35808611_ctg442|provirus_3721232_3760862	20601:20783:1	CDS	hypothetical protein	SRR35808611_ctg442|provirus_3721232_3760862_CDS_0039	conserved	unknown function	default	default	0
SRR35808611_ctg442|provirus_3721232_3760862_CDS_0040	SRR35808611_ctg442|provirus_3721232_3760862	20780:21559:1	CDS	head morphogenesis	SRR35808611_ctg442|provirus_3721232_3760862_CDS_0040	conserved	head and packaging	default	default	0
SRR35808611_ctg442|provirus_3721232_3760862_CDS_0041	SRR35808611_ctg442|provirus_3721232_3760862	21559:21855:1	CDS	hypothetical protein	SRR35808553_ctg921|provirus_1054300_1093930_CDS_0020	conserved	unknown function	default	default	0
SRR35808611_ctg442|provirus_3721232_3760862_CDS_0042	SRR35808611_ctg442|provirus_3721232_3760862	21982:22242:1	CDS	hypothetical protein	SRR35808553_ctg921|provirus_1054300_1093930_CDS_0019	conserved	unknown function	default	default	0
SRR35808611_ctg442|provirus_3721232_3760862_CDS_0043	SRR35808611_ctg442|provirus_3721232_3760862	22239:24488:1	CDS	hypothetical protein	SRR35808553_ctg921|provirus_1054300_1093930_CDS_0018	conserved	unknown function	default	default	0
SRR35808611_ctg442|provirus_3721232_3760862_CDS_0044	SRR35808611_ctg442|provirus_3721232_3760862	24671:25048:1	CDS	hypothetical protein	SRR35808553_ctg921|provirus_1054300_1093930_CDS_0017	conserved	unknown function	default	default	0
SRR35808611_ctg442|provirus_3721232_3760862_CDS_0045	SRR35808611_ctg442|provirus_3721232_3760862	25030:25251:-1	CDS	hypothetical protein	SRR35808553_ctg921|provirus_1054300_1093930_CDS_0016	conserved	unknown function	default	default	0
SRR35808611_ctg442|provirus_3721232_3760862_CDS_0046	SRR35808611_ctg442|provirus_3721232_3760862	25525:27285:1	CDS	hypothetical protein	SRR35808553_ctg921|provirus_1054300_1093930_CDS_0015	conserved	unknown function	default	default	0
SRR35808611_ctg442|provirus_3721232_3760862_CDS_0047	SRR35808611_ctg442|provirus_3721232_3760862	27351:28007:1	CDS	hypothetical protein	SRR35808553_ctg921|provirus_1054300_1093930_CDS_0014	conserved	unknown function	default	default	0
SRR35808611_ctg442|provirus_3721232_3760862_CDS_0048	SRR35808611_ctg442|provirus_3721232_3760862	28004:28513:1	CDS	hypothetical protein	SRR35808553_ctg921|provirus_1054300_1093930_CDS_0013	conserved	unknown function	default	default	0
SRR35808611_ctg442|provirus_3721232_3760862_CDS_0049	SRR35808611_ctg442|provirus_3721232_3760862	28510:28977:1	CDS	hypothetical protein	SRR35809332_ctg1415|provirus_2633736_2673366_CDS_0012	conserved	unknown function	default	default	0
SRR35808611_ctg442|provirus_3721232_3760862_CDS_0050	SRR35808611_ctg442|provirus_3721232_3760862	29003:29185:1	CDS	hypothetical protein	SRR35809332_ctg1415|provirus_2633736_2673366_CDS_0011	conserved	unknown function	default	default	0
SRR35808611_ctg442|provirus_3721232_3760862_CDS_0051	SRR35808611_ctg442|provirus_3721232_3760862	29222:29974:1	CDS	major tail protein with Ig-like domain	SRR35809332_ctg1415|provirus_2633736_2673366_CDS_0010	conserved	tail	default	default	0
SRR35808611_ctg442|provirus_3721232_3760862_CDS_0052	SRR35808611_ctg442|provirus_3721232_3760862	29980:30465:1	CDS	tail assembly chaperone	SRR35809332_ctg1415|provirus_2633736_2673366_CDS_0009	conserved	tail	default	default	0
SRR35808611_ctg442|provirus_3721232_3760862_CDS_0053	SRR35808611_ctg442|provirus_3721232_3760862	30543:30650:1	CDS	hypothetical protein	SRR35809155_ctg108|provirus_3612395_3652025_CDS_0008	conserved	unknown function	default	default	0
SRR35808611_ctg442|provirus_3721232_3760862_CDS_0054	SRR35808611_ctg442|provirus_3721232_3760862	30655:33903:1	CDS	tail length tape measure protein	SRR35809155_ctg108|provirus_3612395_3652025_CDS_0007	conserved	tail	default	default	0
SRR35808611_ctg442|provirus_3721232_3760862_CDS_0055	SRR35808611_ctg442|provirus_3721232_3760862	33914:34318:1	CDS	virion structural protein	SRR35809155_ctg108|provirus_3612395_3652025_CDS_0006	conserved	head and packaging	default	default	0
SRR35808611_ctg442|provirus_3721232_3760862_CDS_0056	SRR35808611_ctg442|provirus_3721232_3760862	34320:34832:1	CDS	minor tail protein	SRR35809155_ctg108|provirus_3612395_3652025_CDS_0005	conserved	tail	default	default	0
SRR35808611_ctg442|provirus_3721232_3760862_CDS_0057	SRR35808611_ctg442|provirus_3721232_3760862	34829:35245:1	CDS	minor tail protein	SRR35808553_ctg921|provirus_1054300_1093930_CDS_0004	conserved	tail	default	default	0
SRR35808611_ctg442|provirus_3721232_3760862_CDS_0058	SRR35808611_ctg442|provirus_3721232_3760862	35242:38526:1	CDS	central tail fiber J	SRR35808553_ctg921|provirus_1054300_1093930_CDS_0003	conserved	tail	default	default	0
SRR35808611_ctg442|provirus_3721232_3760862_CDS_0059	SRR35808611_ctg442|provirus_3721232_3760862	38523:38807:1	CDS	hypothetical protein	SRR35808553_ctg921|provirus_1054300_1093930_CDS_0002	conserved	unknown function	default	default	0
SRR35808611_ctg442|provirus_3721232_3760862_CDS_0060	SRR35808611_ctg442|provirus_3721232_3760862	38804:39631:1	CDS	hypothetical protein	SRR35808553_ctg921|provirus_1054300_1093930_CDS_0001	conserved	unknown function	default	default	0
SRR35809155_ctg108|provirus_3612395_3652025_CDS_0001	SRR35809155_ctg108|provirus_3612395_3652025	1:828:-1	CDS	hypothetical protein	SRR35808553_ctg921|provirus_1054300_1093930_CDS_0001	conserved	unknown function	default	default	0
SRR35809155_ctg108|provirus_3612395_3652025_CDS_0002	SRR35809155_ctg108|provirus_3612395_3652025	825:1109:-1	CDS	hypothetical protein	SRR35808553_ctg921|provirus_1054300_1093930_CDS_0002	conserved	unknown function	default	default	0
